"country","rate"
"Lithuania",12.3
"France",11.7
"Czechia",11.6
"Austria",11.3
"Luxembourg",11.3
"Ireland",11
"Spain",10.9
"Latvia",10.9
"Germany",10.9
"Hungary",10.7
"Poland",10.6
"Portugal",10.4
"Estonia",10.3
"Australia",10.2
"Slovenia",10.1
"Denmark",9.7
"United Kingdom",9.7
"Slovak Rep.",9.7
"Belgium",9.3
"United States",8.9
"New Zealand",8.8
"Korea",8.7
"Switzerland",8.6
"Finland",8.4
"Netherlands",8.3
"Canada",8.2
"Iceland",7.7
"Italy",7.4
"Japan",7.2
"Sweden",7
"Greece",6.7
"Norway",6
"Chile",5.7
"Mexico",4.7
"Colombia",4.2
"Costa Rica",3.3
"Israel",2.9
"Türkiye",1.4
