"Alcohol consumption"
"Litres/capita (aged 15 and over)"
"Category","Litres per person"
"Czechia",11.9
"Latvia",11.6
"Austria",11.6
"France",11.4
"Slovenia",11.1
"Lithuania",11.1
"Luxembourg",11
"Poland",11
"Ireland",10.8
"Spain",10.7
"Hungary",10.7
"Germany",10.6
"Estonia",10.4
"Portugal",10.4
"Slovak Rep.",10.3
"Australia",10.1
"United Kingdom",9.7
"Denmark",9.5
"Belgium",9.2
"United States",9
"New Zealand",8.8
"Switzerland",8.7
"Korea",8.3
"Finland",8.2
"Netherlands",8.2
"Canada",8
"Italy",7.7
"Iceland",7.4
"Chile",7.1
"Sweden",7.1
"Japan",7.1
"Greece",6.3
"Norway",6.1
"Mexico",4.9
"Colombia",4.1
"Israel",3.1
"Costa Rica",3.1
"Türkiye",1.3
