"Child vaccination rates"
"% of children under 1 year old, 2018"
"Category","Diphtheria, Tetanus, Pertussis","Measles"
"Japan",101,97.2
"Hungary",99.9,99.9
"Greece",99.5,97
"Luxembourg",99,99
"Germany",99,97.1
"Portugal",98.6,99
"Türkiye",98,96
"Belgium",97.8,96
"Israel",97.6,98.4
"Korea",97.5,97.6
"Sweden",97,97
"Czechia",97,96.4
"Slovak Rep.",96.5,96.1
"France",96.3,89.6
"Denmark",96,94
"Latvia",96,98
"Norway",96,96
"Switzerland",95.9,95.5
"Costa Rica",95.2,94
"Italy",95.1,93.2
"Poland",95,92.9
"Chile",95,93
"Australia",94.6,94
"Ireland",94.5,92.3
"United States",94,92
"United Kingdom",94,92
"Netherlands",93.5,92.9
"Slovenia",93.4,93
"Spain",93.4,97.9
"New Zealand",92.6,91.9
"Lithuania",92.3,92.2
"Colombia",92,95
"Estonia",91.9,86.9
"Canada",91,90
"Iceland",91,93
"Finland",91,96
"Mexico",88,97
"Austria",84.9,94
