"Category","dtp","Measles"
"Costa Rica",102.6,95
"Latvia",100,99
"Hungary",99.9,99.9
"Greece",99.5,97
"Luxembourg",99,99
"Germany",99,97.2
"Türkiye",98.7,97
"Portugal",98.7,99
"Japan",98,96
"Sweden",98,97
"Belgium",97.3,96
"Korea",97.3,97.4
"Norway",97,97
"Slovak Rep.",96.7,96.2
"Czechia",96.7,92.4
"Switzerland",96.2,95.3
"Denmark",96,95
"Chile",96,95
"Israel",96,99
"Italy",96,94.5
"Poland",95,93
"Australia",94.9,94
"Spain",94.8,97.9
"Slovenia",94.7,94
"United States",94,90
"Colombia",94,95
"Netherlands",93.7,93.6
"Ireland",93.5,91
"United Kingdom",93,91
"Iceland",92.6,92.6
"Lithuania",92.1,92.7
"New Zealand",91.6,91.8
"Estonia",91.4,87.8
"Canada",91,90
"France",91,92
"Finland",91,96
"Austria",85,95
"Mexico",82,73
