"Category","Measles","dtp"
"Hungary",99.8,99.9
"Korea",97.3,97.2
"Czechia",96.6,93.7
"Latvia",96.2,95.2
"Norway",96.2,96.6
"Spain",96.1,93.3
"Australia",96,94.2
"Slovak Rep.",94.7,96.5
"France",94.2,96.4
"Chile",93.9,95.6
"Denmark",93.6,95.8
"Sweden",92.5,94.3
"Iceland",91.4,92.2
"Costa Rica",90.2,95.2
"New Zealand",90,89.3
"Ireland",90,92.7
"United Kingdom",89.8,92.3
"Netherlands",89.4,92.9
"Colombia",88,87
"Lithuania",86.5,90
"Mexico",85.8,83.4
"Estonia",78,85
"Türkiye",,99.5
"Portugal",,98.6
"Japan",,103.8
"Poland",,90
"Austria",,83.5
"Canada",,92
"Belgium",,97.5
"Luxembourg",,99
"Greece",,99
"Slovenia",,89.2
"Israel",,97.9
"Germany",,99
"Italy",,95.2
"Finland",,91
"Switzerland",,96
